Id,Category
1,Success
2,Success
3,Success
4,Success
5,Success
6,Success
7,Success
8,Success
9,Failure
10,Failure
11,Failure
12,Success
13,Failure
14,Success
15,Success
16,Success
17,Success
18,Success
19,Failure
20,Failure
21,Success
22,Failure
23,Failure
24,Failure
25,Failure
26,Failure
27,Success
28,Failure
29,Failure
30,Failure
31,Failure
32,Success
33,Failure
34,Success
35,Failure
36,Failure
37,Success
38,Failure
39,Failure
40,Failure
41,Success
42,Failure
43,Failure
44,Failure
45,Failure
46,Failure
47,Success
48,Success
49,Success
50,Success
51,Failure
52,Success
53,Success
54,Failure
55,Failure
56,Failure
57,Success
58,Failure
59,Failure
60,Failure
61,Failure
62,Failure
63,Failure
64,Success
65,Failure
66,Success
67,Failure
68,Failure
69,Success
70,Success
71,Success
72,Success
73,Failure
74,Failure
75,Failure
76,Success
77,Success
78,Failure
79,Failure
80,Success
81,Failure
82,Failure
83,Failure
84,Success
85,Success
86,Failure
87,Failure
88,Failure
89,Failure
90,Success
91,Failure
92,Failure
93,Failure
94,Success
95,Failure
96,Success
97,Success
98,Failure
99,Failure
100,Success
101,Failure
102,Success
103,Failure
104,Success
105,Failure
106,Failure
107,Failure
108,Success
109,Success
110,Success
111,Success
112,Success
113,Success
114,Failure
115,Success
116,Success
117,Failure
118,Success
119,Success
120,Failure
121,Success
122,Success
123,Success
124,Success
125,Success
126,Success
127,Success
128,Success
129,Success
130,Success
131,Success
132,Success
133,Success
134,Success
135,Success
136,Success
137,Success
138,Success
